鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,房地(土地+建物)+車位,新北市板橋區互助街1~30號,15.84,住,,,1081210,土地1建物1車位1,三層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070606,176.14999999999998,3,2,2,有,有,24000000,153002,坡道平面,30.4,1700000,,RPOOMLKMJHPFFAF57CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街241~270號,23.15,住,,,1081206,土地2建物1車位1,二十二層，二十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031003,271.95,4,2,2,有,有,34700000,138153,坡道平面,32.94,1680000,,RPOPMLNJKHPFFAF77CA
土城區,房地(土地+建物)+車位,新北市土城區明德路一段93巷1~30號,14.41,商,,,1081208,土地1建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080603,130.87,2,2,1,有,無,15700000,143274,坡道平面,31.41,1450000,,RPUPMLNJKHPFFAF38CA
土城區,房地(土地+建物)+車位,新北市土城區中華路一段211~240號,24.78,商,,,1050129,土地1建物1車位1,十一層,三十二層,辦公商業大樓,見其他登記事項,見其他登記事項,1081120,199.67000000000002,1,0,0,有,有,26230000,151400,坡道平面,39.63,2000000,,RPXOMLRJKHPFFAF98CA
土城區,房地(土地+建物)+車位,新北市土城區光明街31~60號,15.8,商,,,1081220,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041230,149.24,3,2,1,有,有,15700000,122098,升降平面,32.94,1500000,,RPQNMLKKKHPFFAF57CA
五股區,土地,中興段1231~1260地號,15.9,其他,,,1081220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,56604,,0.0,0,,RPPNMLOKJHPFFBF87CA
新莊區,房地(土地+建物)+車位,新北市新莊區富貴路181~210號,8.85,商,,,1081208,土地1建物1車位1,五層,十五層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060317,126.85999999999999,0,0,0,無,有,13780000,123846,坡道平面,36.99,2650000,,RPQQMLOKJHPFFBF28CA
新莊區,房地(土地+建物),新北市新莊區中華路二段241~270號,17.57,住,,,1081206,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800802,119.43,3,2,2,有,有,11450000,95872,,0.0,0,含增建或未登記建物。;,RPRSMLOKJHPFFBF58CA
林口區,房地(土地+建物)+車位,新北市林口區南勢三街31~60號,34.7,住,,,1081212,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050627,170.57,3,2,2,有,有,11450000,67128,坡道平面,33.79,0,,RPVTMLOKJHPFFBF09CA
林口區,房地(土地+建物)+車位,新北市林口區富貴路61~90號,9.0,商,,,1081211,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060705,131.39,2,2,1,有,有,12050000,91712,坡道平面,23.16,0,,RPOUMLOKJHPFFBF48CA
泰山區,車位,新北市泰山區明志路三段142巷1~30號,0.04,住,,,1081230,土地0建物0車位1,地下一層,八層,其他,見其他登記事項,鋼筋混凝土造,0871003,15.299999999999999,0,0,0,有,有,1300000,,坡道平面,15.29,0,,RPQOMLPKJHPFFBF18CA
林口區,房地(土地+建物),新北市林口區中山路29巷1~30號,41.26,商,,,1081203,土地1建物1車位0,一層，停車場，夾層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0781017,181.68,3,2,1,有,無,12500000,68802,,0.0,0,,RPUQMLPKJHPFFBF78CA
新莊區,房地(土地+建物)+車位,新北市新莊區富貴路151~180號,9.0,商,,,1081208,土地1建物1車位1,十四層,十五層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060317,129.95,0,0,0,無,有,13370000,116890,坡道平面,38.24,2650000,,RPPNMLQKJHPFFBF08CA
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段20巷1~30號,12.6,住,,,1081205,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830530,104.08,2,2,1,有,有,6900000,66295,坡道平面,0.0,0,含增建或未登記建物。;陽台外推，所有權人共2位,RPWOMLQKJHPFFBF88CA
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段331~360號,22.86,住,,,1081208,土地1建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961210,259.25,4,2,2,有,有,22250000,85824,坡道平面,18.92,0,,RPOQMLQKJHPFFBF28CA
五股區,土地,成子寮段1471~1500地號,28751.66,其他,,,1081111,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75000000,2609,,0.0,0,,RPRNMLRKJHPFFBF38CA
新莊區,房地(土地+建物),新北市新莊區自信街61~90號,24.12,其他,,,1081207,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0651130,79.75,3,2,1,有,無,7200000,90282,,0.0,0,含增建或未登記建物。;,RPXNMLRKJHPFFBF98CA
泰山區,車位,新北市泰山區明志路三段142巷1~30號,0.15,住,,,1090102,土地0建物0車位2,地下一層,八層,其他,見其他登記事項,鋼筋混凝土造,0871003,61.2,0,0,0,有,有,2500000,,坡道平面,0.0,2500000,本案車位為子母車位。本案車位共2位，故價格無法拆分。,RPRTMLRKJHPFFBF98CA
新莊區,房地(土地+建物),新北市新莊區雙鳳路90巷2弄1~30號,23.42,住,,,1081128,土地1建物1車位0,一層，平台，停車場,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690212,80.01,2,2,2,有,無,9300000,116235,,0.0,0,,RPOWMLRKJHPFFBF98CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段301~330號,9.66,商,,,1081210,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990811,113.23,2,2,1,有,有,8000000,70653,坡道平面,26.55,0,,RPRNMLSKJHPFFBF48CA
林口區,房地(土地+建物)+車位,新北市林口區仁愛二路61~90號,17.47,住,,,1081114,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021129,151.59,3,2,2,有,有,13450000,88726,坡道平面,21.62,0,,RPSNMLSKJHPFFBF58CA
新莊區,房地(土地+建物)+車位,新北市新莊區福美街31~60號,22.78,商,,,1081107,土地1建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020222,223.26,4,2,2,有,有,23900000,107050,坡道平面,35.8,0,,RPQVMLKLJHPFFBF48CA
新莊區,房地(土地+建物),新北市新莊區新莊路151~180號,36.5,商,,,1081206,土地2建物1車位0,一層，平台，騎樓,四層,店面(店鋪),商業用,加強磚造,0650217,122.26,0,0,0,無,無,14170000,115901,,0.0,0,含增建或未登記建物。;,RPQOMLLLJHPFFBF87CA
新莊區,房地(土地+建物),新北市新莊區新莊路151~180號,29.24,商,,,1081206,土地3建物1車位0,一層，平台，騎樓,四層,店面(店鋪),商業用,加強磚造,0650217,80.52,0,0,0,無,無,9330000,115872,,0.0,0,含增建或未登記建物。;,RPVOMLLLJHPFFBF38CA
新莊區,土地,民安段181~210地號,75.31,其他,,,1081218,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4263462,56612,,0.0,0,包含公共設施保留地之交易。;,RPQNMLMLJHPFFBF87CA
新莊區,土地,化成段541~570地號,43.74,其他,,,1081216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2614989,59785,,0.0,0,包含公共設施保留地之交易。;,RPRNMLMLJHPFFBF97CA
新莊區,土地,思源段1591~1620地號,1.5,其他,,,1081220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,189000,126000,,0.0,0,包含公共設施保留地之交易。;,RPORMLMLJHPFFBF08CA
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道四段181~210號,34.35,商,,,1081128,土地1建物1車位2,十二層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040907,325.85,3,2,3,有,有,42560000,153843,坡道平面,78.26,4470000,,RPWQMLLMJHPFFBF78CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,20.4,商,,,1030603,土地1建物1車位1,四層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,246.96,3,2,3,有,有,28380000,113721,坡道平面,13.23,1800000,預售屋買賣,RPOOMLLJKHPFFBF57CA
新莊區,房地(土地+建物)+車位,新北市新莊區中港路151~180號,18.2,住,,,1081201,土地3建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1080611,156.95999999999998,3,2,2,有,有,20020000,144423,坡道平面,35.65,2500000,,RPURMLQJKHPFFBF98CA
新莊區,房地(土地+建物),新北市新莊區中港路151~180號,12.21,住,,,1081122,土地3建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1080611,83.25999999999999,2,2,1,有,有,11880000,142686,,0.0,0,,RPVRMLQJKHPFFBF09CA
新莊區,房地(土地+建物)+車位,新北市新莊區中港路151~180號,12.62,住,,,1081201,土地3建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1080611,118.9,2,2,1,有,有,14150000,141141,坡道平面,35.65,2400000,,RPXRMLQJKHPFFBF66CA
林口區,房地(土地+建物),新北市林口區佳林路101巷31~60號,45.1,住,,,1081123,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711015,89.14,2,1,1,有,無,4500000,50482,,0.0,0,,RPOTMLQJKHPFFBF58CA
林口區,車位,新北市林口區文化三路一段151~180號,4.12,住,,,1081216,土地0建物0車位1,,,其他,,,,28.66,0,0,0,有,有,1000000,,坡道平面,28.66,1000000,單獨車位交易。;,RPTNMLLKKHPFFBF08CA
新店區,房地(土地+建物),新北市新店區新和街61~90號,14.12,住,,,1081211,土地2建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0690331,43.29,1,1,1,有,無,5900000,136290,,0.0,0,含增建或未登記建物。;,RPWUMLNKJHPFFCF66CA
新店區,房地(土地+建物)+車位,新北市新店區中央路181~210號,36.08,其他,,,1081113,土地3建物1車位1,七層,二十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011114,214.20999999999998,4,2,2,有,有,27700000,129312,坡道平面,32.29,0,,RPUPMLOKJHPFFCF68CA
新店區,房地(土地+建物),新北市新店區花園六路二段1~30號,60.43,住,,,1081220,土地7建物1車位0,地下一層,九層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0780117,237.21,3,2,3,有,有,12800000,53961,,0.0,0,含增建或未登記建物。;,RPOQMLPKJHPFFCF28CA
新店區,房地(土地+建物)+車位,新北市新店區北新路一段126巷1~30號,11.97,住,,,1070914,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080805,101.22999999999999,2,2,1,有,有,19300000,205955,坡道機械,16.26,1800000,,RPQOMLRKJHPFFCF48CA
新店區,土地,斯馨段31~60地號,79.37,住,,,1081202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33120000,417286,,0.0,0,,RPPPMLRKJHPFFCF48CA
新店區,房地(土地+建物)+車位,新北市新店區安祥路145巷31~60號,68.76,,山坡地保育區,丙種建築用地,1081202,土地1建物1車位1,二層，三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800228,179.09,4,2,2,有,有,7800000,43554,坡道平面,0.0,0,含增建或未登記建物。;,RPRPMLRKJHPFFCF68CA
新店區,房地(土地+建物),新北市新店區中興路二段181~210號,22.24,住,,,1081130,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741004,100.03999999999999,3,2,2,有,無,12000000,119964,,0.0,0,,RPVPMLRKJHPFFCF09CA
新店區,房地(土地+建物),新北市新店區安祥路91~120號,53.48,,山坡地保育區,丙種建築用地,1081124,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830927,110.52000000000001,3,2,2,有,有,5380000,48679,,0.0,0,,RPURMLRKJHPFFCF56CA
深坑區,房地(土地+建物)+車位,新北市深坑區北深路二段121~150號,13.74,住,,,1081230,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080125,71.22999999999999,1,1,1,有,有,7800000,119629,坡道機械,11.88,700000,,RPPQMLKLJHPFFCF97CA
新店區,房地(土地+建物),新北市新店區永安街1~30號,33.06,住,,,1081126,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0651230,81.13,5,0,5,有,無,8500000,104770,,0.0,0,陽台外推,RPWQMLKLJHPFFCF68CA
新店區,房地(土地+建物),新北市新店區安康路二段206巷1~30號,17.0,住,,,1081119,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870311,100.47,3,2,2,有,有,10500000,104509,,0.0,0,,RPSNMLLLJHPFFCF08CA
新店區,房地(土地+建物)+車位,新北市新店區北新路一段61~90號,11.46,住,,,1081223,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0890126,150.31,2,1,1,有,有,13800000,91810,升降平面,13.8,0,,RPXOMLLLJHPFFCF68CA
新店區,房地(土地+建物)+車位,新北市新店區安祥路145巷1~30號,50.09,,山坡地保育區,丙種建築用地,1081210,土地1建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810629,131.36,3,2,2,有,有,5100000,38825,坡道平面,0.0,0,,RPPNMLKMJHPFFCF77CA
新店區,房地(土地+建物)+車位,新北市新店區安祥路69巷31~60號,164.29,,山坡地保育區,丙種建築用地,1081121,土地8建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0941227,212.35999999999999,4,2,3,有,有,15600000,73460,坡道平面,0.0,0,,RPQOMLKMJHPFFCF97CA
金山區,房地(土地+建物),新北市金山區文化二路1~30號,39.3,住,,,1081209,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810325,142.2,4,1,2,有,無,5300000,37271,,0.0,0,,RPPNMLOKJHPFFDF08CA
汐止區,土地,江北段721~750地號,97.13,農,,,1081227,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,18532,,0.0,0,,RPQNMLOKJHPFFDF18CA
金山區,房地(土地+建物),新北市金山區中華路361~390號,20.58,住,,,1081226,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831101,96.63000000000001,3,2,1,有,無,2450000,25354,,0.0,0,,RPRNMLOKJHPFFDF28CA
金山區,房地(土地+建物),新北市金山區中山路391~420號,20.0,住,,,1081220,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830624,112.48,3,1,2,有,有,3900000,34673,,0.0,0,,RPTNMLOKJHPFFDF48CA
汐止區,房地(土地+建物),新北市汐止區建成路56巷69弄1~30號,5.13,商,,,1081229,土地2建物1車位0,二十一層,二十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871128,53.339999999999996,1,1,1,有,有,5500000,103112,,0.0,0,,RPWQMLOKJHPFFDF09CA
汐止區,車位,新北市汐止區保一街9巷1~30號,3.89,住,,,1081230,土地0建物0車位2,地下一層,六層,其他,商業用,鋼筋混凝土造,0840801,39.64,0,0,0,有,有,720000,,坡道平面,39.64,720000,,RPSNMLPKJHPFFDF48CA
汐止區,房地(土地+建物),新北市汐止區忠孝東路331~360號,34.67,住,,,1081219,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0620126,70.0,1,1,1,有,無,5000000,71429,,0.0,0,,RPTOMLPKJHPFFDF68CA
汐止區,房地(土地+建物)+車位,新北市汐止區汐碇路1~30號,34.32,住,,,1081216,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070705,173.46,3,2,2,有,有,17250000,103220,坡道平面,23.78,1800000,建商與地主合建案。;,RPRPMLRKJHPFFDF78CA
汐止區,房地(土地+建物),新北市汐止區東勢街216巷6弄1~30號,196.77,,山坡地保育區,丙種建築用地,1081212,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0790124,299.84,5,2,3,有,有,22500000,75040,,0.0,0,含增建或未登記建物。;,RPXPMLLLJHPFFDF88CA
汐止區,房地(土地+建物)+車位,新北市汐止區建成路59巷1~30號,7.03,住,,,1081221,土地2建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,77.97,2,2,1,有,有,7800000,100038,坡道平面,28.22,0,,RPPPMLLLJHPFFDF08CA
汐止區,房地(土地+建物),新北市汐止區民權街二段81巷14弄1~30號,23.65,,鄉村區,乙種建築用地,1081204,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701002,86.7,2,2,1,有,無,7500000,86505,,0.0,0,含增建或未登記建物。;,RPUPMLLLJHPFFDF58CA
汐止區,房地(土地+建物),新北市汐止區秀峰路31~60號,26.5,住,,,1081224,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0630105,48.02,5,4,2,有,無,5950000,123907,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPSOMLOJKHPFFDF48CA
汐止區,房地(土地+建物)+車位,新北市汐止區大同路二段241~270號,5.15,住,,,1081214,土地1建物1車位1,十二層,二十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1001223,72.75999999999999,0,0,0,無,有,8150000,130365,坡道平面,22.9,1650000,,RPTPMLOJKHPFFDF68CA
汐止區,土地,同新段931~960地號,8057.37,,山坡地保育區,農牧用地,1081212,土地14建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000000,3103,,0.0,0,,RPWOMLRJKHPFFDF56CA
淡水區,土地,新巿段151~180地號,1937.67,住,,,1081224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,328240000,169399,,0.0,0,,RPOOMLOKJHPFFEF18CA
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段140巷1~30號,92.47,住,,,1081103,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0971218,240.01,4,2,2,有,有,15850000,66039,坡道平面,25.35,0,,RPOQMLOKJHPFFEF38CA
淡水區,房地(土地+建物),新北市淡水區學府路136巷31~60號,7.1,住,,,1081207,土地1建物1車位0,十層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961002,33.84,1,0,1,有,有,2400000,70922,,0.0,0,陽台外推,RPPQMLOKJHPFFEF48CA
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路一段3巷14弄1~30號,16.56,住,,,1081223,土地2建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961121,139.8,3,2,2,有,有,12000000,85837,坡道平面,17.73,0,陽台外推,RPTOMLQKJHPFFEF88CA
三芝區,房地(土地+建物),新北市三芝區淡金路二段87巷1~30號,3.86,住,,,1090101,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870304,28.73,1,0,1,有,有,930000,32370,,0.0,0,,RPTSMLRKJHPFFEF76CA
八里區,土地,地號271~300地號,2480.0,其他,,,1081223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,3024,,0.0,0,,RPWOMLKLJHPFFEF68CA
淡水區,房地(土地+建物)+車位,新北市淡水區新民街一段1~30號,28.43,住,,,1081210,土地1建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981225,170.97,3,2,2,有,有,9300000,54396,坡道平面,29.92,0,,RPVSSLKLJHPFFEF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段301~330號,13.96,住,,,1081224,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040515,125.28999999999999,2,2,1,有,有,6365000,50802,坡道平面,36.85,0,,RPQNMLLLJHPFFEF08CA
