鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南區,房地(土地+建物),臺中市南區南和路181~210號,11.4,住,,,1081219,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0820519,125.56,3,2,2,有,有,6180000,49219,,0.0,0,,RPPNMLNLJHPFFAB37CA
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段241~270號,16.13,商,,,1081205,土地1建物1車位2,十層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070910,181.87,3,2,2,有,有,18500000,111879,坡道機械,29.92,1500000,,RPPPMLKMJHPFFAB37CA
西區,土地,後子段361~390地號,115.0,住,,,1081216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,52174,,0.0,0,二等親間之買賣，兩人共同承買,RPOOMLLMJHPFFAB27CA
西區,車位,臺中市西區忠明南路91~120號,2.74,住,,,1081221,土地0建物0車位1,,,其他,,,,29.3,0,0,0,有,有,1500000,,坡道平面,0.0,1500000,,RPVPMLLMJHPFFAB08CA
南區,房地(土地+建物),臺中市南區學府路146巷1~30號,6.37,住,,,1081202,土地1建物1車位0,四層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850627,68.55,1,1,1,有,有,3300000,48140,,0.0,0,親友、員工或其他特殊關係間之交易。;,SPOOMLNJKHPFFAB37CA
南區,房地(土地+建物),臺中市南區忠明南路1261~1290號,50.44,住,,,1081008,土地1建物1車位0,一層，二層，騎樓，地下層,五層,店面(店鋪),住商用,鋼筋混凝土造,0700421,146.96,2,2,2,有,無,7900000,53756,,0.0,0,,RPSPMLOJKHPFFAB87CA
中區,房地(土地+建物),臺中市中區光復路151~180號,10.47,商,,,1081204,土地6建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701118,116.93,0,0,0,無,有,3183300,27224,,0.0,0,房屋老舊,RPQOMLPJKHPFFAB67CA
東區,土地,東勢子段1~30地號,97.0,住,,,1081202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8509325,87725,,0.0,0,,RPQNMLKKKHPFFAB17CA
北屯區,房地(土地+建物),臺中市北屯區昌平路二段金谷巷31~60號,69.6,住,,,1081130,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0850513,183.68,5,3,2,有,無,13800000,75131,,0.0,0,,RPQNMLOKJHPFFBB57CA
北屯區,房地(土地+建物)+車位,臺中市北屯區河北路二段61~90號,26.69,住,,,1081113,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791120,174.19,4,2,2,有,有,4900000,28130,升降機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNNLOKJHPFFBB67CA
北屯區,房地(土地+建物),臺中市北屯區東山路一段211~240號,88.53,住,,,1081215,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0710526,268.19,0,0,0,無,無,20160000,75171,,0.0,0,,RPVRNLOKJHPFFBB58CA
北屯區,土地,北屯段301~330地號,87.0,住,,,1081209,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5789850,66550,,0.0,0,,RPQSNLOKJHPFFBB18CA
北區,房地(土地+建物)+車位,臺中市北區忠明路361~390號,11.03,住,,,1081202,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840718,104.63,2,2,1,有,有,5000000,47787,升降機械,0.0,0,,RPUUMLPKJHPFFBB78CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段631~660號,7.49,商,,,1081214,土地1建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860416,116.78999999999999,3,2,2,有,有,5900000,50518,坡道機械,6.33,0,,RPXOMLPKJHPFFBB48CA
北區,房地(土地+建物),臺中市北區華美西街一段211~240號,22.71,住,,,1081116,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0820503,124.03,3,2,2,有,無,7500000,60469,,0.0,0,,RPPPMLPKJHPFFBB77CA
北區,房地(土地+建物),臺中市北區武漢街61~90號,14.39,住,,,1081021,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810523,84.57,1,2,2,有,有,3700000,43751,,0.0,0,含增建或未登記建物。,RPQSNLPKJHPFFBB28CA
北區,房地(土地+建物)+車位,臺中市北區五常街361~390號,3.25,商,,,1081222,土地1建物1車位3,十五層,十七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971128,102.72,1,1,1,有,有,5200000,84746,坡道平面,74.4,2800000,含增建或未登記建物。,RPQNMLQKJHPFFBB77CA
北區,房地(土地+建物),臺中市北區進化北路241~270號,6.2,住,,,1081212,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970122,80.46000000000001,2,2,1,有,有,6100000,75814,,0.0,0,含增建或未登記建物。;所有權人各持有持分1/2,RPQRMLQKJHPFFBB18CA
