鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
三民區,房地(土地+建物),高雄市三民區重慶街349巷1~30號,11.58,住,,,1081218,土地1建物1車位0,一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831229,119.64000000000001,3,2,2,有,有,8500000,71046,,0.0,0,含增建或未登記建物。;,RPTPMLQKJHPFFDE78CA
三民區,房地(土地+建物)+車位,高雄市三民區大昌二路91~120號,15.95,商,,,1081207,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940613,184.75,4,2,2,有,有,8600000,46549,坡道平面,0.0,0,,RPWNMLKLJHPFFDE38CA
三民區,房地(土地+建物),高雄市三民區鼎信街1~30號,10.06,住,,,1081221,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831026,85.01,3,2,2,有,有,3200000,37643,,0.0,0,,RPSOMLPKJHPFFDE48CA
前鎮區,房地(土地+建物),高雄市前鎮區凱旋四路931~960號,9.06,住,,,1081130,土地2建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940524,77.39,2,1,1,有,有,4300000,55563,,0.0,0,,RPTOMLQKJHPFFCE58CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中華五路751~780號,37.07,住,,,1081209,土地1建物1車位2,十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1000622,346.25,3,2,2,有,有,30880000,89184,坡道平面,57.81,0,,RPWOMLQKJHPFFCE88CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區忠誠路361~390號,15.92,住,,,1081205,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951005,127.48,3,2,2,有,有,6800000,53342,坡道機械,15.58,0,,RPQNMLQKJHPFFCE18CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區民權二路211~240號,9.51,商,,,1081203,土地2建物1車位1,二十六層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860527,213.53000000000003,4,2,2,有,有,10380000,48611,坡道平面,36.07,0,,RPSNMLQKJHPFFCE38CA
苓雅區,房地(土地+建物)+車位,高雄市新興區民族二路61~90號,16.42,商,,,1081225,土地1建物1車位2,二十三層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030901,378.61,0,0,0,無,有,28000000,73955,坡道平面,36.56,0,,RPROMLPJKHPFFBE18CA
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,6.29,商,,,1081231,土地1建物1車位0,十九層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,147.13,3,2,2,有,有,5400000,36702,,0.0,0,,RPOOMLQKJHPFFBE97CA
鼓山區,房地(土地+建物),高雄市鼓山區昌盛路1~30號,6.74,商,,,1081129,土地1建物1車位0,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841106,73.55,2,1,1,有,有,3850000,52345,,0.0,0,陽台外推,RPSOMLNJKHPFFAE97CA
前金區,房地(土地+建物)+車位,高雄市前金區七賢二路151~180號,4.82,商,,,1081211,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851002,79.46000000000001,1,1,1,有,有,3000000,37755,坡道機械,0.0,0,,RPSOMLKMJHPFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南一街91~120號,43.91,住,,,1081227,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020710,385.77,3,2,3,有,有,25800000,70144,坡道平面,74.98,4000000,,RPPNMLKLJHPFFAE37CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路541~570號,28.22,住,,,1081221,土地1建物1車位2,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020313,334.65999999999997,4,2,2,有,有,30500000,91137,坡道平面,33.08,0,,RPUPMLQKJHPFFAE58CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南二路1~30號,30.81,住,,,1081210,土地1建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010809,308.97,4,2,2,有,有,23600000,76383,坡道平面,17.06,0,,RPWNMLPKJHPFFAE48CA
