鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,房地(土地+建物),臺北市中正區和平西路一段1~30號,6.39,商,,,1081219,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080425,62.85,2,1,1,有,有,16950000,269690,,0.0,0,,RPTNMLKMJHPFFAA47CA
中正區,房地(土地+建物)+車位,臺北市中正區汀州路二段61~90號,17.82,商,,,1081205,土地2建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060704,263.3,3,2,3,有,有,54780000,225442,坡道平面,31.4,2500000,,RPTOMLNJKHPFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區萬壽路25巷1~30號,39.67,住,,,1081227,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080124,191.84,3,2,2,有,有,31000000,197038,坡道平面,44.66,2000000,,RPOPMLNJKHPFFAA27CA
中正區,房地(土地+建物),臺北市中正區?m門街61~90號,9.27,商,,,1081116,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071023,77.9,2,2,1,有,有,16080000,206418,,0.0,0,,RPPOMLOJKHPFFAA37CA
中正區,房地(土地+建物),臺北市中正區?m門街61~90號,7.89,商,,,1081101,土地2建物1車位0,二層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1071023,67.62,1,1,1,有,有,12500000,184857,,0.0,0,,RPQOMLOJKHPFFAA47CA
中正區,房地(土地+建物)+車位,臺北市中正區?m門街61~90號,11.73,商,,,1081109,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071023,131.82,2,1,2,有,有,22000000,201318,坡道平面,34.71,2450000,,RPSOMLOJKHPFFAA67CA
中正區,房地(土地+建物),臺北市中正區牯嶺街31~60號,36.0,住,,,1081219,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),,加強磚造,,94.08,3,1,1,有,無,20000000,212585,,0.0,0,,RPOPMLOJKHPFFAA37CA
大同區,土地,圓環段一小段121~150地號,20.0,商,,,1090102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7800000,390000,,0.0,0,含增建建物或未辦理保存登記建物。,RPTPMLOKJHPFFBA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路一段91~120號,32.79,住,,,1081216,土地1建物1車位4,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031107,338.91,3,2,2,有,有,52800000,155794,坡道平面,0.0,0,,RPUPMLNKJHPFFBA97CA
大同區,房地(土地+建物)+車位,臺北市大同區民權西路211~240號,13.73,其他,,,1081218,土地3建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,184.62,3,2,2,有,有,35500000,225786,坡道平面,39.35,2700000,,RPQPMLRKJHPFFBA97CA
中正區,房地(土地+建物),臺北市中正區忠孝東路一段151~180號,5.01,商,,,1081207,土地1建物1車位0,三層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1080807,51.47,1,1,1,有,有,16250000,315718,,0.0,0,,RPPPMLOJKHPFFBA57CA
大同區,房地(土地+建物),臺北市大同區鄭州路29巷1~30號,21.86,商,,,1081204,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0680425,82.15,1,1,1,有,無,13000000,158247,,0.0,0,,RPQNMLKKKHPFFBA17CA
大同區,房地(土地+建物),臺北市大同區鄭州路29巷1~30號,43.82,商,,,1081204,土地2建物2車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0680425,164.3,1,1,2,有,無,35000000,213025,,0.0,0,一樓為1衛無隔間、二樓為1房1廳1衛,RPRNMLTKKHPFFBA18CA
中山區,房地(土地+建物),臺北市中山區天祥路61~90號,6.63,商,,,1081115,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931203,70.09,4,2,1,有,有,17580000,250820,,0.0,0,含增建或未登記建物。;,RPPPMLOKJHPFFCA67CA
中山區,房地(土地+建物),臺北市中山區樂群二路151~180號,47.09,住,,,1081210,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,155.69,3,2,2,有,有,25800000,165714,,0.0,0,含增建或未登記建物。;,RPROMLPKJHPFFCA87CA
內湖區,房地(土地+建物),臺北市內湖區東湖路121~150號,43.43,住,,,1081123,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730511,135.83,4,2,2,有,無,15800000,116322,,0.0,0,含增建或未登記建物。;,RPQRMLPKJHPFFCA08CA
中山區,房地(土地+建物),臺北市中山區復興北路481~510號,7.7,住,,,1081212,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720905,51.919999999999995,1,1,1,有,有,9100000,175270,,0.0,0,,RPWSMLPKJHPFFCA78CA
中山區,房地(土地+建物),臺北市中山區德惠街31~60號,3.0,商,,,1081214,土地1建物1車位0,五層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0681215,27.42,1,1,1,有,有,4500000,164114,,0.0,0,,RPWOMLQKJHPFFCA48CA
中山區,房地(土地+建物)+車位,臺北市中山區林森北路451~480號,9.84,商,,,1081127,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981106,126.59,2,1,1,有,有,21020000,166048,坡道平面,0.0,0,含增建或未登記建物。;,RPSPMLQKJHPFFCA18CA
中山區,房地(土地+建物),臺北市中山區林森北路353巷19弄1~30號,9.5,商,,,1090102,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0560826,23.38,1,1,1,有,無,2300000,98375,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVPMLRKJHPFFCA58CA
中山區,房地(土地+建物),臺北市中山區長安東路一段61~90號,16.69,商,,,1081211,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710924,96.84,3,1,2,有,無,15620000,161297,,0.0,0,含增建或未登記建物。;,RPWQMLRKJHPFFCA78CA
中山區,房地(土地+建物),臺北市中山區天祥路1~30號,14.23,住,,,1081205,土地2建物1車位0,五層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050914,76.38,1,1,1,有,有,20880000,273370,,0.0,0,,RPWSMLRKJHPFFCA98CA
中山區,房地(土地+建物),臺北市中山區八德路二段31~60號,46.0,住,,,1081108,土地2建物2車位0,一層，二層,二層,店面(店鋪),,磚造,,74.74,0,0,1,有,無,48000000,642226,,0.0,0,含增建或未登記建物。;,RPXOMLLLJHPFFCA18CA
中山區,房地(土地+建物),臺北市中山區林森北路107巷1~30號,46.78,商,,,1081028,土地1建物10車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711115,289.81,10,0,10,有,無,41000000,141472,,0.0,0,含增建或未登記建物。;,RPTPMLMLJHPFFCA97CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路321巷10弄1~30號,45.59,工,,,1081115,土地1建物2車位1,三層,五層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0780829,161.47,3,2,2,有,有,7570000,46885,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLKMJHPFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區安康路331~360號,24.76,住,,,1081120,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0930611,116.22,0,0,0,無,有,17600000,151437,坡道平面,0.0,0,,RPXOMLKMJHPFFCA18CA
中山區,房地(土地+建物),臺北市中山區中山北路三段31~60號,108.43,商,,,1081122,土地2建物1車位0,二層，陽台,七層,辦公商業大樓,商業用,鋼筋混凝土造,0620831,626.66,0,0,0,無,有,106880000,170555,,0.0,0,,RPORMLLMJHPFFCA67CA
中山區,房地(土地+建物),臺北市中山區長安東路一段56巷7弄1~30號,35.5,商,,,1081216,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600201,96.4,3,2,1,有,無,13006000,134917,,0.0,0,現況交屋，整修整理等費用由買方自行處理。,RPTOMLOJKHPFFCA97CA
